emoji,emoji_name
:<,sad
:@,sad
:[,sad
:c,sad
:{,sad
:‑(,sad
:‑<,sad
:‑[,sad
:‑c,sad
;(,sad
*<|:‑),santa claus
:#,sealed lips
:&,sealed lips
:X,sealed lips
:‑#,sealed lips
:‑&,sealed lips
:‑X,sealed lips
!!,shame
(-.-),shame
(-_-),shame
(ー_ー),shame
(一一),shame
(；一_一),shame
(°◇°),shocked
（ ﾟ Дﾟ),shocked
☆ミ,shooting star
☆彡,shooting star
¯\(°_o)/¯,shrug
¯\_(ツ)_/¯,shrug
ヽ(´ー｀)┌,shrug
8-X,skull
8=X,skull
x-3,skull
x=3,skull
(-_-)zzz,sleeping
zzz(︶｡︶✽),sleeping
(-.-)y-°°°,smoking
(^.^)y-.o○,smoking
~>°)～～～,snake
(´･ω･`),snubbed
(‘A`),snubbed
:|,straight face
:‑|,straight face
.....φ(・∀・＊),studying is good
(o.o),surprise
(￣□￣;),surprise
8‑0,surprise
:-0,surprise
:O,surprise
:o,surprise
:‑O,surprise
:‑o,surprise
=0,surprise
=O,surprise
=o,surprise
>:O,surprise
o.O,surprise
oO,surprise
o_0,surprise
o_O,surprise
°O°,surprise
°o°,surprise
 ¯\_(ツ),table flip
 ┻━┻,table flip
(╯°□°）╯︵ ┻━┻┬──┬,table flip
(ノಠ益ಠ)ノ彡┻━┻,table flip
┬─┬ノ( º _ ºノ),table flip
︵ヽ(`Д´)ﾉ︵ ┻━┻,table flip
(°°)～,tadpole
:'),tears of happiness
:'‑),tears of happiness
(=_=),tired
:P,tongue sticking out
:b,tongue sticking out
:p,tongue sticking out
:Þ,tongue sticking out
:þ,tongue sticking out
:‑P,tongue sticking out
:‑b,tongue sticking out
:‑p,tongue sticking out
:‑Þ,tongue sticking out
:‑þ,tongue sticking out
=p,tongue sticking out
>:P,tongue sticking out
XP,tongue sticking out
X‑P,tongue sticking out
d:,tongue sticking out
xp,tongue sticking out
x‑p,tongue sticking out
:‑J,tongue-in-cheek
(>_<),troubled
(>_<)>,troubled
(>w<),troubled
(o|o),ultraman
($··)/~~~,waving
(-_-)/~~~,waving
(;_;)/~~~,waving
(@^^)/~~~,waving
(T_T)/~~~,waving
(ToT)/~~~,waving
(^.^)/~~~,waving
(^^)/~~~,waving
(^_^)/~,waving
(^_-),wink
(^_-)-☆,wink
*),wink
*-),wink
;),wink
;>,wink
;D,wink
;],wink
;^),wink
;‑),wink
;‑],wink
"(-""""-)",worried
(-_-メ),worried
(^_^メ),worried
(~_~メ),worried
(・へ・),worried
(ーー;),worried
(ーー゛),worried
(－－〆),worried
(｀´),worried
<`ヘ´>,worried
<`～´>,worried
