Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.6131433876939475,0.6151183997861113,0.8598,0.8538
2,0.6096719019710065,0.6076350465369301,0.8706,0.876
3,0.6079202317201291,0.6078817004593797,0.8766,0.8746
4,0.607094487633568,0.6086106864027322,0.8776,0.8722
5,0.6083121787244901,0.6084921371441679,0.8746,0.8734
