Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.6243454958684147,0.6304853861324322,0.8258,0.8076
2,0.6225420842155481,0.6258011376514984,0.8322,0.8218
3,0.6183874538531319,0.6149965871256381,0.8438,0.8546
4,0.6165149428973944,0.6149283420925323,0.8498,0.8536
5,0.6133131196323675,0.6156395772775523,0.8596,0.8524
6,0.6134080829711768,0.622475516681854,0.8594,0.8324
7,0.6187399730514794,0.6198254850344916,0.8432,0.8404
