Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.6099387569168505,0.6055183206884244,0.8696,0.883
2,0.6068350554655154,0.607282451737803,0.879,0.8778
3,0.6074529514906887,0.607185593047462,0.8768,0.878
4,0.612163677764015,0.6074383673957362,0.8628,0.8774
