Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.608589626920109,0.607684311965784,0.874,0.8766
2,0.6059613473499164,0.6084699209886618,0.8816,0.8744
3,0.6049680235667731,0.6064622592621337,0.8854,0.8804
4,0.6032031359383092,0.6072519509175334,0.8904,0.8786
5,0.602439916552827,0.6078683781547668,0.8922,0.8764
6,0.6085489378950466,0.6102517761361484,0.874,0.869
