Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.6355023661028797,0.6159141108553897,0.8085819139926602,0.8512025174196448
2,0.6063440122614421,0.6093873059023238,0.8809071233650136,0.8707574735895707
3,0.6025534342908242,0.6110022330796847,0.8920673755528371,0.8662620813665992
4,0.6006585524513649,0.6065646555261373,0.8976945516138138,0.8792987188132164
5,0.6000142993247857,0.607394249849422,0.8993507104545027,0.8770510227017307
6,0.5982755463154191,0.6072841000386037,0.9045826667921333,0.8772757923128793
7,0.5959736575781671,0.6064423418814137,0.9116025218782347,0.8797482580355136
8,0.5970529928798957,0.6051684049722542,0.908252564223205,0.8835693414250393
9,0.5939739557570343,0.6047222573697353,0.9173426178601675,0.8849179590919307
10,0.5936125296313014,0.6032005435249711,0.9186788369248141,0.8896381209260508
11,0.5916795334841823,0.6077586085565628,0.924437752893573,0.8757024050348393
12,0.5951486783586184,0.6077024547857196,0.9140303001787898,0.8759271746459879
13,0.5942355402080958,0.6051384184950142,0.9168344782158653,0.8835693414250393
