Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.6157312631226195,0.6116227130539501,0.8518,0.8646
2,0.6149252561715465,0.6109941268500428,0.8546,0.866
3,0.6129004938153032,0.6164302420311462,0.8608,0.8504
4,0.6141391506972024,0.6137770646677231,0.857,0.8578
5,0.6103960530826459,0.6202777490829127,0.8686,0.8384
